estado;dia;quantidaDeCasos
Rondonia;30/01/2020;0
Rondonia;31/01/2020;0
Rondonia;01/02/2020;0
Rondonia;02/02/2020;0
Rondonia;03/02/2020;0
Rondonia;04/02/2020;0
Rondonia;05/02/2020;0
Rondonia;06/02/2020;0
Rondonia;07/02/2020;0
Rondonia;08/02/2020;0
Rondonia;09/02/2020;0
Rondonia;10/02/2020;0
Rondonia;11/02/2020;0
Rondonia;12/02/2020;0
Rondonia;13/02/2020;0
Rondonia;14/02/2020;0
Rondonia;15/02/2020;0
Rondonia;16/02/2020;0
Rondonia;17/02/2020;0
Rondonia;18/02/2020;0
Rondonia;19/02/2020;0
Rondonia;20/02/2020;0
Rondonia;21/02/2020;0
Rondonia;22/02/2020;0
Rondonia;23/02/2020;0
Rondonia;24/02/2020;0
Rondonia;25/02/2020;0
Rondonia;26/02/2020;0
Rondonia;27/02/2020;0
Rondonia;28/02/2020;0
Rondonia;29/02/2020;0
Rondonia;01/03/2020;0
Rondonia;02/03/2020;0
Rondonia;03/03/2020;0
Rondonia;04/03/2020;0
Rondonia;05/03/2020;0
Rondonia;06/03/2020;0
Rondonia;07/03/2020;0
Rondonia;08/03/2020;0
Rondonia;09/03/2020;0
Rondonia;10/03/2020;0
Rondonia;11/03/2020;0
Rondonia;12/03/2020;0
Rondonia;13/03/2020;0
Rondonia;14/03/2020;0
Rondonia;15/03/2020;0
Rondonia;16/03/2020;0
Rondonia;17/03/2020;0
Rondonia;18/03/2020;0
Rondonia;19/03/2020;0
Rondonia;20/03/2020;1
Rondonia;21/03/2020;0
Rondonia;22/03/2020;2
Rondonia;23/03/2020;0
Rondonia;24/03/2020;0
Rondonia;25/03/2020;2
Rondonia;26/03/2020;0
Rondonia;27/03/2020;1
Rondonia;28/03/2020;0
Rondonia;29/03/2020;0
Rondonia;30/03/2020;0
Rondonia;31/03/2020;2
Rondonia;01/04/2020;1
Rondonia;02/04/2020;1
Rondonia;03/04/2020;0
Rondonia;04/04/2020;1
Rondonia;05/04/2020;1
Rondonia;06/04/2020;2
Rondonia;07/04/2020;4
Rondonia;08/04/2020;0
Rondonia;09/04/2020;10
Rondonia;10/04/2020;4
Rondonia;11/04/2020;1
Rondonia;12/04/2020;2
Rondonia;13/04/2020;7
Rondonia;14/04/2020;22
Rondonia;15/04/2020;5
Rondonia;16/04/2020;7
Rondonia;17/04/2020;16
Rondonia;18/04/2020;18
Rondonia;19/04/2020;18
Rondonia;20/04/2020;32
Acre;30/01/2020;0
Acre;31/01/2020;0
Acre;01/02/2020;0
Acre;02/02/2020;0
Acre;03/02/2020;0
Acre;04/02/2020;0
Acre;05/02/2020;0
Acre;06/02/2020;0
Acre;07/02/2020;0
Acre;08/02/2020;0
Acre;09/02/2020;0
Acre;10/02/2020;0
Acre;11/02/2020;0
Acre;12/02/2020;0
Acre;13/02/2020;0
Acre;14/02/2020;0
Acre;15/02/2020;0
Acre;16/02/2020;0
Acre;17/02/2020;0
Acre;18/02/2020;0
Acre;19/02/2020;0
Acre;20/02/2020;0
Acre;21/02/2020;0
Acre;22/02/2020;0
Acre;23/02/2020;0
Acre;24/02/2020;0
Acre;25/02/2020;0
Acre;26/02/2020;0
Acre;27/02/2020;0
Acre;28/02/2020;0
Acre;29/02/2020;0
Acre;01/03/2020;0
Acre;02/03/2020;0
Acre;03/03/2020;0
Acre;04/03/2020;0
Acre;05/03/2020;0
Acre;06/03/2020;0
Acre;07/03/2020;0
Acre;08/03/2020;0
Acre;09/03/2020;0
Acre;10/03/2020;0
Acre;11/03/2020;0
Acre;12/03/2020;0
Acre;13/03/2020;0
Acre;14/03/2020;0
Acre;15/03/2020;0
Acre;16/03/2020;0
Acre;17/03/2020;0
Acre;18/03/2020;0
Acre;19/03/2020;3
Acre;20/03/2020;4
Acre;21/03/2020;2
Acre;22/03/2020;2
Acre;23/03/2020;0
Acre;24/03/2020;6
Acre;25/03/2020;6
Acre;26/03/2020;1
Acre;27/03/2020;1
Acre;28/03/2020;0
Acre;29/03/2020;9
Acre;30/03/2020;8
Acre;31/03/2020;0
Acre;01/04/2020;1
Acre;02/04/2020;0
Acre;03/04/2020;3
Acre;04/04/2020;0
Acre;05/04/2020;2
Acre;06/04/2020;2
Acre;07/04/2020;0
Acre;08/04/2020;4
Acre;09/04/2020;8
Acre;10/04/2020;8
Acre;11/04/2020;2
Acre;12/04/2020;5
Acre;13/04/2020;13
Acre;14/04/2020;9
Acre;15/04/2020;2
Acre;16/04/2020;9
Acre;17/04/2020;25
Acre;18/04/2020;7
Acre;19/04/2020;21
Acre;20/04/2020;13
Amazonia;30/01/2020;0
Amazonia;31/01/2020;0
Amazonia;01/02/2020;0
Amazonia;02/02/2020;0
Amazonia;03/02/2020;0
Amazonia;04/02/2020;0
Amazonia;05/02/2020;0
Amazonia;06/02/2020;0
Amazonia;07/02/2020;0
Amazonia;08/02/2020;0
Amazonia;09/02/2020;0
Amazonia;10/02/2020;0
Amazonia;11/02/2020;0
Amazonia;12/02/2020;0
Amazonia;13/02/2020;0
Amazonia;14/02/2020;0
Amazonia;15/02/2020;0
Amazonia;16/02/2020;0
Amazonia;17/02/2020;0
Amazonia;18/02/2020;0
Amazonia;19/02/2020;0
Amazonia;20/02/2020;0
Amazonia;21/02/2020;0
Amazonia;22/02/2020;0
Amazonia;23/02/2020;0
Amazonia;24/02/2020;0
Amazonia;25/02/2020;0
Amazonia;26/02/2020;0
Amazonia;27/02/2020;0
Amazonia;28/02/2020;0
Amazonia;29/02/2020;0
Amazonia;01/03/2020;0
Amazonia;02/03/2020;0
Amazonia;03/03/2020;0
Amazonia;04/03/2020;0
Amazonia;05/03/2020;0
Amazonia;06/03/2020;0
Amazonia;07/03/2020;0
Amazonia;08/03/2020;0
Amazonia;09/03/2020;0
Amazonia;10/03/2020;0
Amazonia;11/03/2020;0
Amazonia;12/03/2020;0
Amazonia;13/03/2020;0
Amazonia;14/03/2020;0
Amazonia;15/03/2020;1
Amazonia;16/03/2020;0
Amazonia;17/03/2020;0
Amazonia;18/03/2020;0
Amazonia;19/03/2020;2
Amazonia;20/03/2020;0
Amazonia;21/03/2020;8
Amazonia;22/03/2020;15
Amazonia;23/03/2020;6
Amazonia;24/03/2020;15
Amazonia;25/03/2020;7
Amazonia;26/03/2020;13
Amazonia;27/03/2020;14
Amazonia;28/03/2020;30
Amazonia;29/03/2020;29
Amazonia;30/03/2020;11
Amazonia;31/03/2020;24
Amazonia;01/04/2020;25
Amazonia;02/04/2020;29
Amazonia;03/04/2020;31
Amazonia;04/04/2020;51
Amazonia;05/04/2020;106
Amazonia;06/04/2020;115
Amazonia;07/04/2020;104
Amazonia;08/04/2020;168
Amazonia;09/04/2020;95
Amazonia;10/04/2020;82
Amazonia;11/04/2020;69
Amazonia;12/04/2020;156
Amazonia;13/04/2020;69
Amazonia;14/04/2020;209
Amazonia;15/04/2020;70
Amazonia;16/04/2020;165
Amazonia;17/04/2020;90
Amazonia;18/04/2020;88
Amazonia;19/04/2020;147
Amazonia;20/04/2020;116
Roraima;30/01/2020;0
Roraima;31/01/2020;0
Roraima;01/02/2020;0
Roraima;02/02/2020;0
Roraima;03/02/2020;0
Roraima;04/02/2020;0
Roraima;05/02/2020;0
Roraima;06/02/2020;0
Roraima;07/02/2020;0
Roraima;08/02/2020;0
